file_path,label,file_size_bytes,num_objects,has_js,has_open_action,has_launch,has_embedded_file,has_aa,entropy
BENIGN\Ben01\065101f.pdf,0,31106,41,0,0,0,0,0,7.4118
BENIGN\Ben01\069.pdf,0,20349,30,0,0,0,0,0,7.0131
BENIGN\Ben01\069hull_gorden.pdf,0,15307,23,0,0,0,0,0,7.1827
BENIGN\Ben01\06cofigbs.pdf,0,17314,25,0,0,0,0,0,7.0562
BENIGN\Ben01\06cofiges.pdf,0,16041,25,0,0,0,0,0,6.9428
BENIGN\Ben01\06cofigfs.pdf,0,14292,25,0,0,0,0,0,6.7391
BENIGN\Ben01\06itcorptaxsnap.pdf,0,253167,90,0,0,0,0,1,7.3665
BENIGN\Ben01\06weisman.pdf,0,19421,26,0,1,0,0,0,6.6488
BENIGN\Ben01\070401f.pdf,0,25723,35,0,0,0,0,0,7.1098
BENIGN\Ben01\071701f.pdf,0,28406,51,0,0,0,0,0,7.448
BENIGN\Ben01\071702f.pdf,0,45329,69,0,0,0,0,0,7.5684
BENIGN\Ben01\071801f.pdf,0,67892,74,0,0,0,0,0,7.7035
BENIGN\Ben01\072.pdf,0,16363,36,0,0,0,0,0,6.8722
BENIGN\Ben01\072005-lore.pdf,0,193564,54,0,0,0,0,1,7.8222
BENIGN\Ben01\072101f.pdf,0,124332,152,0,0,0,0,0,7.7238
BENIGN\Ben01\072501f.pdf,0,39661,70,0,0,0,0,0,7.0494
BENIGN\Ben01\072502f.pdf,0,43214,83,0,0,0,0,0,7.0303
BENIGN\Ben01\072perlman.pdf,0,22033,35,0,0,0,0,0,6.8655
BENIGN\Ben01\073.pdf,0,173530,17,0,0,0,0,0,7.9657
BENIGN\Ben01\073301f.pdf,0,44414,74,0,0,0,0,0,7.3197
BENIGN\Ben01\073801f.pdf,0,155561,149,0,0,0,0,0,7.8035
BENIGN\Ben01\073802f.pdf,0,45100,83,0,0,0,0,0,7.0572
BENIGN\Ben01\073oram_cpsr.pdf,0,19859,30,0,0,0,0,0,6.9983
BENIGN\Ben01\074401f.pdf,0,31605,60,0,0,0,0,0,7.4946
BENIGN\Ben01\0745018.pdf,0,110302,118,0,0,0,0,0,7.731
BENIGN\Ben01\074hoy_dvdcca.pdf,0,21678,34,0,0,0,0,0,6.663
BENIGN\Ben01\075001f.pdf,0,27455,43,0,0,0,0,0,7.3354
BENIGN\Ben01\075201f.pdf,0,245401,322,0,0,0,0,0,7.7725
BENIGN\Ben01\075smith_nlm.pdf,0,22104,37,0,0,0,0,0,6.6214
BENIGN\Ben01\076mcgivern_ascap.pdf,0,25257,48,0,0,0,0,0,6.7336
BENIGN\Ben01\077sigall_riaa.pdf,0,16433,31,0,0,0,0,0,6.8437
BENIGN\Ben01\07cofigbs.pdf,0,18209,25,0,0,0,0,0,7.1258
BENIGN\Ben01\07cofiges.pdf,0,16575,25,0,0,0,0,0,6.9982
BENIGN\Ben01\07cofigfs.pdf,0,14368,25,0,0,0,0,0,6.7444
BENIGN\Ben01\07eocharitiessnap.pdf,0,262072,117,0,0,0,0,1,7.4282
BENIGN\Ben01\07eocharteobull.pdf,0,150114,123,0,0,0,0,0,7.8271
BENIGN\Ben01\07pfound.pdf,0,39178,22,0,0,0,0,0,7.7714
BENIGN\Ben01\07rppscecco.pdf,0,159883,80,1,0,0,1,0,7.9166
BENIGN\Ben01\07rppsdiamond.pdf,0,333823,145,0,0,0,1,0,7.9314
BENIGN\Ben01\07rppsjohnson.pdf,0,283402,119,0,0,0,1,0,7.9496
BENIGN\Ben01\07rppsliu.pdf,0,387624,153,0,0,0,1,0,7.9568
BENIGN\Ben01\07rppsmilleville.pdf,0,156076,75,0,0,0,1,0,7.918
BENIGN\Ben01\07rppsweber.pdf,0,164380,86,0,0,0,1,0,7.919
BENIGN\Ben01\07tyrrell.pdf,0,47396,157,0,1,0,0,0,7.1082
BENIGN\Ben01\07ubgraph1.pdf,0,21964,21,0,0,0,0,0,7.4865
BENIGN\Ben01\07ubgraph2.pdf,0,25463,21,0,0,0,0,0,7.578
BENIGN\Ben01\080101f.pdf,0,154082,173,0,0,0,0,0,7.8435
BENIGN\Ben01\081401.pdf,0,23620,74,0,0,0,0,0,6.0166
BENIGN\Ben01\082005-lore.pdf,0,124485,52,0,0,0,0,1,7.4196
BENIGN\Ben01\082801f.pdf,0,49869,67,0,0,0,0,0,7.3468
BENIGN\Ben01\082802f.pdf,0,40277,63,0,0,0,0,0,7.0919
BENIGN\Ben01\082803f.pdf,0,51199,50,0,0,0,0,0,7.4406
BENIGN\Ben01\082804f.pdf,0,39303,61,0,0,0,0,0,7.5233
BENIGN\Ben01\083hendrix_ala.pdf,0,18113,35,0,0,0,0,0,6.9279
BENIGN\Ben01\084101f.pdf,0,24461,42,0,0,0,0,0,7.2096
BENIGN\Ben01\084201f.pdf,0,26615,48,0,0,0,0,0,7.2535
BENIGN\Ben01\084301f.pdf,0,43578,66,0,0,0,0,0,7.134
BENIGN\Ben01\084601f.pdf,0,31838,60,0,0,0,0,0,7.3147
BENIGN\Ben01\084602f.pdf,0,28554,48,0,0,0,0,0,7.3598
BENIGN\Ben01\084doyle_amp.pdf,0,40781,52,0,0,0,0,0,7.4513
BENIGN\Ben01\085201f.pdf,0,42460,64,0,0,0,0,0,7.2226
BENIGN\Ben01\088brown_naa.pdf,0,91949,52,0,1,0,0,0,7.9245
BENIGN\Ben01\08fallbulforcorpper.pdf,0,230895,226,0,0,0,0,0,7.7621
BENIGN\Ben01\08fallbulsolprop.pdf,0,411140,278,0,0,0,0,0,7.874
BENIGN\Ben01\08fallbultebond.pdf,0,162570,157,0,0,0,0,0,7.6635
BENIGN\Ben01\08inccsnap.pdf,0,154175,40,0,0,0,0,0,7.8823
BENIGN\Ben01\08inratesharesnap.pdf,0,151309,40,0,0,0,0,0,7.8781
BENIGN\Ben01\08pareturnsnap.pdf,0,273882,89,0,0,0,0,1,7.4824
BENIGN\Ben01\08perkins.pdf,0,133809,394,0,1,0,0,0,7.4955
BENIGN\Ben01\08pfsnap.pdf,0,263020,93,0,0,0,0,1,7.4306
BENIGN\Ben01\08rpgangiunece.pdf,0,213423,65,0,0,0,0,1,7.935
BENIGN\Ben01\08rpjohnson.pdf,0,331983,69,0,0,0,0,0,7.9755
BENIGN\Ben01\08rppsbryant.pdf,0,135899,61,0,0,0,0,0,7.9492
BENIGN\Ben01\08rpscali.pdf,0,146034,56,0,0,0,0,0,7.9575
BENIGN\Ben01\08rpweber.pdf,0,32515,24,0,0,0,0,0,7.6806
BENIGN\Ben01\090801f.pdf,0,73072,82,0,0,0,0,0,7.5974
BENIGN\Ben01\090maddux.pdf,0,28600,63,0,0,0,0,0,7.3845
BENIGN\Ben01\091macarthur.pdf,0,21743,43,0,0,0,0,0,7.5157
BENIGN\Ben01\092005-lore.pdf,0,299705,60,0,0,0,0,1,7.936
BENIGN\Ben01\092101f.pdf,0,55989,75,0,0,0,0,0,7.4094
BENIGN\Ben01\092102f.pdf,0,35841,60,0,0,0,0,0,7.0232
BENIGN\Ben01\092103f.pdf,0,104013,128,0,0,0,0,0,7.673
BENIGN\Ben01\092greenman.pdf,0,11446,21,0,0,0,0,0,7.0186
BENIGN\Ben01\0930029.pdf,0,75634,50,0,1,0,0,0,7.9317
BENIGN\Ben01\093701f.pdf,0,34381,70,0,0,0,0,0,7.2367
BENIGN\Ben01\093801f.pdf,0,94120,115,0,0,0,0,0,7.4963
BENIGN\Ben01\094301f.pdf,0,50459,63,0,0,0,0,0,7.3861
BENIGN\Ben01\094302f.pdf,0,78299,251,0,0,0,0,0,7.0097
BENIGN\Ben01\094rodgers_hrrc.pdf,0,13650,24,0,0,0,0,0,6.3502
BENIGN\Ben01\095001f.pdf,0,50954,78,0,0,0,0,0,7.3408
BENIGN\Ben01\098bmi.pdf,0,25492,30,1,0,0,0,1,6.3836
BENIGN\Ben01\09crocker.pdf,0,38397,56,0,1,0,0,0,7.5236
BENIGN\Ben01\09ebsnap.pdf,0,302608,83,0,0,0,0,1,7.5696
BENIGN\Ben01\09estrustsnap.pdf,0,403184,76,0,0,0,0,1,7.7345
BENIGN\Ben01\09fallbulchar.pdf,0,401125,119,0,0,0,0,1,7.6605
BENIGN\Ben01\09fallbulfodcorp.pdf,0,316414,248,0,0,0,0,0,7.8056
BENIGN\Ben01\09in01gender.pdf,0,19368,29,0,0,0,0,0,7.1006
BENIGN\Ben01\09inratesnap.pdf,0,90062,31,0,0,0,0,0,7.8498
BENIGN\Ben01\09rplatereturnsps.pdf,0,387014,97,0,0,0,0,1,7.6628
BENIGN\Ben01\09sumbulcoftc.pdf,0,406000,220,0,0,0,0,1,7.9263
BENIGN\Ben01\0_ea-2a_1108.pdf,0,109611,188,0,0,0,0,0,7.6452
BENIGN\Ben01\1-meredith-filak.pdf,0,131236,41,0,1,0,0,0,7.9834
BENIGN\Ben01\10-13_comm.pdf,0,286378,146,0,0,0,0,1,7.7979
BENIGN\Ben01\100301f.pdf,0,50753,82,0,0,0,0,0,7.5923
BENIGN\Ben01\100501f.pdf,0,56451,90,0,0,0,0,0,7.3596
BENIGN\Ben01\100502f.pdf,0,54702,82,0,0,0,0,0,7.0857
BENIGN\Ben01\100901f.pdf,0,29024,54,0,0,0,0,0,6.6727
BENIGN\Ben01\100902f.pdf,0,38141,67,0,0,0,0,0,7.0092
BENIGN\Ben01\1010cole.pdf,0,92375,6,0,0,0,0,0,7.883
BENIGN\Ben01\101501f.pdf,0,60072,81,0,0,0,0,0,7.4607
BENIGN\Ben01\101502f.pdf,0,128759,131,0,0,0,0,0,7.7576
BENIGN\Ben01\101watkins.pdf,0,14446,26,0,0,0,0,0,6.9981
BENIGN\Ben01\102601f.pdf,0,35055,35,0,0,0,0,0,7.1467
BENIGN\Ben01\102602f.pdf,0,37165,47,0,0,0,0,0,7.1222
BENIGN\Ben01\102901f.pdf,0,63372,80,0,0,0,0,0,7.4974
BENIGN\Ben01\103001f.pdf,0,26237,36,0,0,0,0,0,6.669
BENIGN\Ben01\103002f.pdf,0,92510,115,0,0,0,0,0,7.6143
BENIGN\Ben01\103101f.pdf,0,51388,57,0,0,0,0,0,7.5368
BENIGN\Ben01\103901f.pdf,0,36999,49,0,0,0,0,0,7.6566
BENIGN\Ben01\103hommedieu.pdf,0,33295,167,0,0,0,0,1,6.7022
BENIGN\Ben01\105.pdf,0,13909,25,0,0,0,0,0,6.6347
BENIGN\Ben01\105001f.pdf,0,72000,40,0,0,0,0,0,7.7515
BENIGN\Ben01\105101f.pdf,0,126134,113,0,0,0,0,0,7.8369
BENIGN\Ben01\105reedelsevier.pdf,0,25025,42,0,0,0,0,0,7.2882
BENIGN\Ben01\106hallpbs.pdf,0,20430,35,0,0,0,0,0,6.7377
BENIGN\Ben01\109selzer_bcis.pdf,0,29129,46,0,0,0,0,0,7.3766
BENIGN\Ben01\10eositrustsnap.pdf,0,400897,571,0,0,0,0,1,7.3563
BENIGN\Ben01\10esgiftsnap.pdf,0,246409,94,1,0,0,0,1,7.4044
BENIGN\Ben01\10esnonresestatsnap.pdf,0,227007,77,0,0,0,0,1,7.3826
BENIGN\Ben01\10estrustsnap.pdf,0,259507,91,0,0,0,0,1,7.3997
BENIGN\Ben01\10sprbulfidincpan.pdf,0,67990,66,0,0,0,0,0,7.6764
BENIGN\Ben01\10sprbulgifts07.pdf,0,95383,92,0,0,0,0,0,7.7403
BENIGN\Ben01\10sultzberger_NYFU.pdf,0,48173,105,0,1,0,0,0,7.4621
BENIGN\Ben01\10sumbulcoftc.pdf,0,388385,182,0,0,0,0,0,7.922
BENIGN\Ben01\10winbulreturnfilings.pdf,0,351677,340,0,0,0,0,1,7.7328
BENIGN\Ben01\11-erica-redler-naba-wbu.pdf,0,63599,36,0,0,0,0,0,7.945
BENIGN\Ben01\111101f.pdf,0,28566,26,0,0,0,0,0,7.0948
BENIGN\Ben01\111701f.pdf,0,70250,54,0,0,0,0,0,7.7073
BENIGN\Ben01\1120021.pdf,0,78845,51,0,1,0,0,0,7.9371
BENIGN\Ben01\112700mem.pdf,0,23095,94,0,0,0,0,0,5.6018
BENIGN\Ben01\112701f.pdf,0,63751,50,0,0,0,0,0,7.4507
BENIGN\Ben01\112metalitz.pdf,0,83369,121,0,0,0,0,0,7.7432
BENIGN\Ben01\11381f.pdf,0,72443,54,0,0,0,0,0,7.7219
BENIGN\Ben01\11382f.pdf,0,93436,80,0,0,0,0,0,7.7779
BENIGN\Ben01\113901f.pdf,0,38878,39,0,0,0,0,0,7.3743
BENIGN\Ben01\113nandy.pdf,0,17650,29,0,0,0,0,0,6.5128
BENIGN\Ben01\114.pdf,0,10824,29,0,0,0,0,0,6.9094
BENIGN\Ben01\114701f.pdf,0,40239,33,0,0,0,0,0,7.4171
BENIGN\Ben01\114702f.pdf,0,45452,39,0,0,0,0,0,7.4927
BENIGN\Ben01\114703f.pdf,0,79298,69,0,0,0,0,0,7.7348
BENIGN\Ben01\114704f.pdf,0,41719,39,0,0,0,0,0,7.4275
BENIGN\Ben01\114gross_eff.pdf,0,19074,30,0,0,0,0,0,6.9081
BENIGN\Ben01\114_list.pdf,0,132812,243,0,0,0,0,0,7.7878
BENIGN\Ben01\115001f.pdf,0,58748,50,0,0,0,0,0,7.3893
BENIGN\Ben01\115101f.pdf,0,37354,36,0,0,0,0,0,7.3407
BENIGN\Ben01\115iverson_sony.pdf,0,28441,39,0,0,0,0,0,7.4429
BENIGN\Ben01\118bsa.pdf,0,30821,32,0,0,0,0,0,7.5789
BENIGN\Ben01\119vaughn_aau.pdf,0,23094,36,0,0,0,0,0,6.7502
BENIGN\Ben01\11ebfallbulmunbond.pdf,0,212960,126,0,0,0,0,0,7.9493
BENIGN\Ben01\11ebsnap.pdf,0,42851,25,0,0,0,0,0,7.8014
BENIGN\Ben01\11ebtebondwinbull.pdf,0,214208,124,0,0,0,0,0,7.8788
BENIGN\Ben01\11eo07busintaxwinbull.pdf,0,160775,110,0,0,0,0,0,7.8337
BENIGN\Ben01\11eofallbulteorg.pdf,0,382039,81,0,0,0,0,1,7.568
BENIGN\Ben01\11esgiftsnap.pdf,0,253006,107,0,0,0,0,1,7.4121
BENIGN\Ben01\11esgiftsprbul.pdf,0,68543,47,0,0,0,0,0,7.8568
BENIGN\Ben01\11esnonresestatsnap.pdf,0,188088,34,1,0,0,0,1,7.1976
BENIGN\Ben01\11insitrusts09winbull.pdf,0,151592,113,0,0,0,0,0,7.8204
BENIGN\Ben01\11pfdomwinbull.pdf,0,164464,110,0,0,0,0,0,7.7883
BENIGN\Ben01\12-0019.pdf,0,21998,27,0,0,0,0,0,7.43
BENIGN\Ben01\12-0020.pdf,0,18299,15,0,0,0,0,0,7.3651
BENIGN\Ben01\12-0021.pdf,0,24212,16,0,0,0,0,0,7.5726
BENIGN\Ben01\12-0022.pdf,0,21624,25,0,0,0,0,0,7.4385
BENIGN\Ben01\12-0023.pdf,0,20384,23,0,0,0,0,0,7.4193
BENIGN\Ben01\12-0024.pdf,0,19649,22,0,0,0,0,0,7.3902
BENIGN\Ben01\12-0025.pdf,0,141261,22,0,0,0,0,0,7.5402
BENIGN\Ben01\12-0026.pdf,0,25803,28,0,0,0,0,0,7.5511
BENIGN\Ben01\12-0027.pdf,0,22490,25,0,0,0,0,0,7.4695
BENIGN\Ben01\12-0028.pdf,0,24708,28,1,0,0,0,0,7.5179
BENIGN\Ben01\12-0029.pdf,0,22568,25,0,0,0,0,0,7.4757
BENIGN\Ben01\12-0030.pdf,0,21402,25,0,0,0,0,0,7.4308
BENIGN\Ben01\12-0031.pdf,0,21706,18,0,0,0,0,0,7.4773
BENIGN\Ben01\12-0032.pdf,0,23623,25,0,0,0,0,0,7.5085
BENIGN\Ben01\12-0033.pdf,0,21026,25,0,0,0,0,0,7.4151
BENIGN\Ben01\12-0034.pdf,0,22219,19,0,0,0,0,0,7.4872
BENIGN\Ben01\12-0035.pdf,0,19876,18,0,0,0,0,0,7.4118
BENIGN\Ben01\12-0036.pdf,0,17855,15,0,0,0,0,0,7.3364
BENIGN\Ben01\12-0037.pdf,0,22793,19,0,0,0,0,0,7.5066
BENIGN\Ben01\12-0038.pdf,0,22937,25,0,0,0,0,0,7.4867
BENIGN\Ben01\12-0039.pdf,0,17972,15,0,0,0,0,0,7.3441
BENIGN\Ben01\12-0040.pdf,0,21384,25,0,0,0,0,0,7.4304
BENIGN\Ben01\12-0041.pdf,0,20655,20,0,0,0,0,0,7.4287
BENIGN\Ben01\12-0042.pdf,0,19837,18,0,0,0,0,0,7.4075
BENIGN\Ben01\12-0043.pdf,0,24081,25,0,0,0,0,0,7.5177
BENIGN\Ben01\12-george-kerscher.pdf,0,79644,51,0,0,0,0,0,7.8093
BENIGN\Ben01\1201-502rev.pdf,0,375624,618,0,1,0,0,0,7.6762
BENIGN\Ben01\1201-503rev.pdf,0,235757,398,0,1,0,0,0,7.664
BENIGN\Ben01\1201-504rev.pdf,0,372658,629,0,1,0,0,0,7.6654
BENIGN\Ben01\1201-518.pdf,0,199525,374,0,1,0,0,0,7.6072
BENIGN\Ben01\1201mem.pdf,0,26255,86,0,0,0,0,0,5.8085
BENIGN\Ben01\1201_recommendation.pdf,0,315250,310,0,0,0,0,1,7.8738
BENIGN\Ben01\121.pdf,0,14354,24,0,0,0,0,0,6.4821
BENIGN\Ben01\121201f.pdf,0,237504,1268,0,0,0,0,0,7.1836
BENIGN\Ben01\121202f.pdf,0,210119,1047,0,0,0,0,0,7.29
BENIGN\Ben01\121401f.pdf,0,201698,849,0,0,0,0,0,7.3992
BENIGN\Ben01\121501f.pdf,0,83246,266,0,0,0,0,0,7.132
BENIGN\Ben01\121601f.pdf,0,200434,891,0,0,0,0,0,7.4171
BENIGN\Ben01\121602f.pdf,0,49919,124,0,0,0,0,1,7.2911
BENIGN\Ben01\121699a.pdf,0,57816,56,0,1,0,0,0,7.2535
BENIGN\Ben01\121701f.pdf,0,128654,423,0,0,0,0,0,7.4896
BENIGN\Ben01\121mcininch.pdf,0,19191,31,0,0,0,0,1,7.4156
BENIGN\Ben01\1233016.pdf,0,97266,73,0,1,0,0,0,7.91
BENIGN\Ben01\1233019.pdf,0,353355,27,0,0,0,0,0,6.5922
BENIGN\Ben01\1233021.pdf,0,264706,27,0,0,0,0,0,6.6033
BENIGN\Ben01\1233022.pdf,0,410637,36,0,0,0,0,0,6.516
BENIGN\Ben01\1233023.pdf,0,131119,18,0,0,0,0,0,6.0111
BENIGN\Ben01\1233024.pdf,0,322930,32,0,0,0,0,0,6.4723
BENIGN\Ben01\1233025.pdf,0,342705,31,0,0,0,0,0,6.6342
BENIGN\Ben01\1233026.pdf,0,343705,30,0,0,0,0,0,6.7116
BENIGN\Ben01\1233028.pdf,0,140585,18,0,0,0,0,0,6.1809
BENIGN\Ben01\1233029.pdf,0,139695,16,0,0,0,0,0,6.1829
BENIGN\Ben01\1233030.pdf,0,142567,17,0,0,0,0,0,6.3124
BENIGN\Ben01\1233031.pdf,0,137587,16,0,0,0,0,0,6.0592
BENIGN\Ben01\1233032.pdf,0,163985,16,0,0,0,0,0,6.6157
BENIGN\Ben01\1233033.pdf,0,160538,17,0,0,0,0,0,6.673
BENIGN\Ben01\123mpaa.pdf,0,21999,40,0,0,0,0,0,6.9948
BENIGN\Ben01\125junger.pdf,0,162517,513,0,0,0,0,0,6.6675
BENIGN\Ben01\128mitelman.pdf,0,27818,43,0,1,0,0,0,7.594
BENIGN\Ben01\12feinst.pdf,0,19981,47,0,0,0,0,0,6.9584
BENIGN\Ben01\12kahle.pdf,0,55900,219,0,1,0,0,0,7.0171
BENIGN\Ben01\12proj.pdf,0,87915,65,0,0,0,0,0,7.8182
BENIGN\Ben01\13-stuart-holland.pdf,0,78805,46,0,0,0,0,0,7.7653
BENIGN\Ben01\130b6109.pdf,0,11458,22,0,0,0,0,0,6.3143
BENIGN\Ben01\1318-DV2012Instructions-ENGL.pdf,0,178709,77,0,0,0,0,0,7.9532
BENIGN\Ben01\133.pdf,0,18038,30,0,0,0,0,0,7.3851
BENIGN\Ben01\134.pdf,0,13761,22,0,0,0,0,0,6.7314
BENIGN\Ben01\13431705.pdf,0,25310,47,0,0,0,0,0,7.5243
BENIGN\Ben01\136.pdf,0,10922,21,0,0,0,0,0,6.9333
BENIGN\Ben01\139d_faqs_final_2_oc.pdf,0,36302,70,0,0,0,0,0,6.5048
BENIGN\Ben01\13montoro.pdf,0,15097,24,0,1,0,0,0,6.087
BENIGN\Ben01\141.pdf,0,11222,21,0,0,0,0,0,7.0708
BENIGN\Ben01\1436_00.pdf,0,36887,53,0,0,0,0,0,7.2501
BENIGN\Ben01\1446-pia.pdf,0,45295,46,0,0,0,0,0,6.8461
BENIGN\Ben01\147.pdf,0,15594,24,0,0,0,0,0,6.6627
BENIGN\Ben01\148.pdf,0,13949,22,0,0,0,0,0,6.7733
BENIGN\Ben01\149519-03.pdf,0,310765,999,0,1,0,0,0,7.3367
BENIGN\Ben01\14granick_WAreply.pdf,0,113644,112,0,1,0,0,0,7.8225
